"Index","rank1","rank2","rank3","rank4"
"GE01","skipped","HALE ROBISON","DARON S. HUGHES","GRANT LUNDBERG"
"GE02","GRANT LUNDBERG","HALE ROBISON","skipped","DARON S. HUGHES"
"GE03","HALE ROBISON","DARON S. HUGHES","GRANT LUNDBERG","skipped"
"GE04","GRANT LUNDBERG","HALE ROBISON","skipped","DARON S. HUGHES"
"GE05","skipped","skipped","skipped","skipped"
"GE06","HALE ROBISON","skipped","DARON S. HUGHES","GRANT LUNDBERG"
"GE07","HALE ROBISON","DARON S. HUGHES","GRANT LUNDBERG","skipped"
"GE08","skipped","skipped","skipped","skipped"
"GE09","DARON S. HUGHES","HALE ROBISON","skipped","GRANT LUNDBERG"
"GE10","GRANT LUNDBERG","HALE ROBISON","DARON S. HUGHES","skipped"
"GE11","DARON S. HUGHES","GRANT LUNDBERG","HALE ROBISON","skipped"
"GE12","HALE ROBISON","skipped","skipped","skipped"
"GE13","DARON S. HUGHES","GRANT LUNDBERG","HALE ROBISON","skipped"
"GE14","GRANT LUNDBERG","HALE ROBISON","skipped","DARON S. HUGHES"
"GE15","HALE ROBISON","GRANT LUNDBERG","skipped","DARON S. HUGHES"
"GE16","DARON S. HUGHES","GRANT LUNDBERG","HALE ROBISON","skipped"
"GE17","GRANT LUNDBERG","DARON S. HUGHES","HALE ROBISON","skipped"
"GE18","HALE ROBISON","GRANT LUNDBERG","skipped","skipped"
"GE19","DARON S. HUGHES","GRANT LUNDBERG","skipped","HALE ROBISON"
"GE20","DARON S. HUGHES","GRANT LUNDBERG","skipped","HALE ROBISON"
"GE21","GRANT LUNDBERG","HALE ROBISON","DARON S. HUGHES","skipped"
"GE22","HALE ROBISON","GRANT LUNDBERG","DARON S. HUGHES","skipped"
"GE23","GRANT LUNDBERG","HALE ROBISON","DARON S. HUGHES","skipped"
"GE24","HALE ROBISON","GRANT LUNDBERG","DARON S. HUGHES","skipped"
"GE25","overvote","skipped","skipped","skipped"
"GE26","HALE ROBISON","GRANT LUNDBERG","skipped","skipped"
"GE27","GRANT LUNDBERG","HALE ROBISON","DARON S. HUGHES","skipped"
"GE28","overvote","skipped","skipped","skipped"
"GE29","DARON S. HUGHES","GRANT LUNDBERG","HALE ROBISON","skipped"
"GE30","HALE ROBISON","GRANT LUNDBERG","skipped","skipped"
"GE31","skipped","DARON S. HUGHES","GRANT LUNDBERG","HALE ROBISON"
"GE32","HALE ROBISON","DARON S. HUGHES","GRANT LUNDBERG","skipped"
"GE33","HALE ROBISON","DARON S. HUGHES","GRANT LUNDBERG","skipped"
"GE34","HALE ROBISON","skipped","skipped","skipped"
"GE35","HALE ROBISON","DARON S. HUGHES","GRANT LUNDBERG","skipped"
"GE36","GRANT LUNDBERG","HALE ROBISON","skipped","DARON S. HUGHES"
"GE37","HALE ROBISON","skipped","DARON S. HUGHES","GRANT LUNDBERG"
"GE38","HALE ROBISON","DARON S. HUGHES","GRANT LUNDBERG","skipped"
"GE39","GRANT LUNDBERG","skipped","skipped","skipped"
"GE40","HALE ROBISON","skipped","DARON S. HUGHES","GRANT LUNDBERG"
"GE41","HALE ROBISON","DARON S. HUGHES","GRANT LUNDBERG","skipped"
"GE42","HALE ROBISON","GRANT LUNDBERG","DARON S. HUGHES","skipped"
"GE43","DARON S. HUGHES","HALE ROBISON","GRANT LUNDBERG","skipped"
"GE44","DARON S. HUGHES","HALE ROBISON","GRANT LUNDBERG","skipped"
"GE45","GRANT LUNDBERG","skipped","skipped","skipped"
"GE46","DARON S. HUGHES","GRANT LUNDBERG","HALE ROBISON","skipped"
"GE47","DARON S. HUGHES","HALE ROBISON","GRANT LUNDBERG","skipped"
"GE48","HALE ROBISON","DARON S. HUGHES","GRANT LUNDBERG","skipped"
"GE49","DARON S. HUGHES","GRANT LUNDBERG","HALE ROBISON","skipped"
"GE50","HALE ROBISON","skipped","DARON S. HUGHES","GRANT LUNDBERG"
"GE51","GRANT LUNDBERG","DARON S. HUGHES","HALE ROBISON","skipped"
"GE52","skipped","GRANT LUNDBERG","DARON S. HUGHES","HALE ROBISON"
"GE53","DARON S. HUGHES","GRANT LUNDBERG","HALE ROBISON","skipped"
"GE54","DARON S. HUGHES","GRANT LUNDBERG","HALE ROBISON","skipped"
"GE55","GRANT LUNDBERG","HALE ROBISON","DARON S. HUGHES","skipped"
"GE56","HALE ROBISON","DARON S. HUGHES","GRANT LUNDBERG","skipped"
"GE57","HALE ROBISON","DARON S. HUGHES","GRANT LUNDBERG","skipped"
"GE58","DARON S. HUGHES","skipped","skipped","skipped"
"GE59","skipped","DARON S. HUGHES","GRANT LUNDBERG","HALE ROBISON"
"GE60","HALE ROBISON","GRANT LUNDBERG","DARON S. HUGHES","skipped"
"GE61","GRANT LUNDBERG","DARON S. HUGHES","skipped","HALE ROBISON"
"GE62","skipped","DARON S. HUGHES","skipped","skipped"
"GE63","GRANT LUNDBERG","HALE ROBISON","DARON S. HUGHES","skipped"
"GE64","HALE ROBISON","GRANT LUNDBERG","DARON S. HUGHES","skipped"
"GE65","DARON S. HUGHES","skipped","skipped","skipped"
"GE66","skipped","DARON S. HUGHES","GRANT LUNDBERG","HALE ROBISON"
"GE67","skipped","GRANT LUNDBERG","HALE ROBISON","DARON S. HUGHES"
"GE68","DARON S. HUGHES","GRANT LUNDBERG","HALE ROBISON","skipped"
"GE69","DARON S. HUGHES","GRANT LUNDBERG","skipped","HALE ROBISON"
"GE70","DARON S. HUGHES","GRANT LUNDBERG","skipped","HALE ROBISON"
"GE71","DARON S. HUGHES","GRANT LUNDBERG","skipped","HALE ROBISON"
"GE72","HALE ROBISON","DARON S. HUGHES","GRANT LUNDBERG","skipped"
"GE73","HALE ROBISON","DARON S. HUGHES","GRANT LUNDBERG","skipped"
"GE74","skipped","HALE ROBISON","DARON S. HUGHES","GRANT LUNDBERG"
"GE75","HALE ROBISON","HALE ROBISON","HALE ROBISON","HALE ROBISON"
"GE76","skipped","GRANT LUNDBERG","HALE ROBISON","DARON S. HUGHES"
"GE77","GRANT LUNDBERG","DARON S. HUGHES","HALE ROBISON","skipped"
"GE78","HALE ROBISON","skipped","DARON S. HUGHES","GRANT LUNDBERG"
"GE79","HALE ROBISON","skipped","GRANT LUNDBERG","DARON S. HUGHES"
"GE80","skipped","DARON S. HUGHES","HALE ROBISON","GRANT LUNDBERG"
"GE81","HALE ROBISON","GRANT LUNDBERG","DARON S. HUGHES","skipped"
"GE82","HALE ROBISON","GRANT LUNDBERG","DARON S. HUGHES","skipped"
"GE83","HALE ROBISON","GRANT LUNDBERG","DARON S. HUGHES","skipped"
"GE84","DARON S. HUGHES","GRANT LUNDBERG","HALE ROBISON","skipped"
"GE85","HALE ROBISON","DARON S. HUGHES","GRANT LUNDBERG","skipped"
"GE86","HALE ROBISON","GRANT LUNDBERG","DARON S. HUGHES","skipped"
"GE87","HALE ROBISON","GRANT LUNDBERG","DARON S. HUGHES","skipped"
"GE88","overvote","skipped","skipped","skipped"
"GE89","GRANT LUNDBERG","HALE ROBISON","DARON S. HUGHES","skipped"
"GE90","HALE ROBISON","DARON S. HUGHES","GRANT LUNDBERG","skipped"
"GE91","skipped","skipped","skipped","skipped"
"GE92","HALE ROBISON","DARON S. HUGHES","GRANT LUNDBERG","skipped"
"GE93","HALE ROBISON","GRANT LUNDBERG","skipped","skipped"
"GE94","skipped","HALE ROBISON","DARON S. HUGHES","GRANT LUNDBERG"
"GE95","skipped","skipped","skipped","skipped"
"GE96","DARON S. HUGHES","GRANT LUNDBERG","HALE ROBISON","skipped"
"GE97","HALE ROBISON","GRANT LUNDBERG","skipped","DARON S. HUGHES"
"GE98","DARON S. HUGHES","HALE ROBISON","skipped","skipped"
"GE99","DARON S. HUGHES","HALE ROBISON","skipped","skipped"
"GE100","HALE ROBISON","skipped","GRANT LUNDBERG","DARON S. HUGHES"
"GE101","DARON S. HUGHES","GRANT LUNDBERG","skipped","skipped"
"GE102","HALE ROBISON","DARON S. HUGHES","skipped","GRANT LUNDBERG"
"GE103","HALE ROBISON","skipped","DARON S. HUGHES","GRANT LUNDBERG"
"GE104","HALE ROBISON","DARON S. HUGHES","GRANT LUNDBERG","skipped"
"GE105","DARON S. HUGHES","skipped","skipped","skipped"
"GE106","GRANT LUNDBERG","DARON S. HUGHES","skipped","skipped"
"GE107","HALE ROBISON","DARON S. HUGHES","GRANT LUNDBERG","skipped"
"GE108","HALE ROBISON","HALE ROBISON","HALE ROBISON","HALE ROBISON"
"GE109","HALE ROBISON","DARON S. HUGHES","skipped","skipped"
"GE110","HALE ROBISON","skipped","GRANT LUNDBERG","DARON S. HUGHES"
"GE111","HALE ROBISON","skipped","DARON S. HUGHES","GRANT LUNDBERG"
"GE112","HALE ROBISON","GRANT LUNDBERG","skipped","skipped"
"GE113","DARON S. HUGHES","GRANT LUNDBERG","HALE ROBISON","skipped"
"GE114","skipped","HALE ROBISON","skipped","skipped"
"GE115","HALE ROBISON","GRANT LUNDBERG","DARON S. HUGHES","skipped"
"GE116","HALE ROBISON","skipped","GRANT LUNDBERG","DARON S. HUGHES"
"GE117","HALE ROBISON","skipped","skipped","skipped"
"GE118","DARON S. HUGHES","skipped","skipped","skipped"
"GE119","HALE ROBISON","GRANT LUNDBERG","DARON S. HUGHES","skipped"
"GE120","HALE ROBISON","skipped","skipped","skipped"
"GE121","HALE ROBISON","skipped","DARON S. HUGHES","GRANT LUNDBERG"
"GE122","skipped","HALE ROBISON","skipped","skipped"
"GE123","HALE ROBISON","skipped","skipped","skipped"
"GE124","HALE ROBISON","skipped","GRANT LUNDBERG","DARON S. HUGHES"
"GE125","DARON S. HUGHES","GRANT LUNDBERG","HALE ROBISON","skipped"
"GE126","HALE ROBISON","DARON S. HUGHES","GRANT LUNDBERG","skipped"
"GE127","GRANT LUNDBERG","skipped","HALE ROBISON","DARON S. HUGHES"
"GE128","DARON S. HUGHES","GRANT LUNDBERG","HALE ROBISON","skipped"
"GE129","DARON S. HUGHES","GRANT LUNDBERG","skipped","skipped"
"GE130","HALE ROBISON","GRANT LUNDBERG","skipped","skipped"
"GE131","HALE ROBISON","GRANT LUNDBERG","DARON S. HUGHES","skipped"
"GE132","HALE ROBISON","GRANT LUNDBERG","DARON S. HUGHES","skipped"
"GE133","DARON S. HUGHES","skipped","GRANT LUNDBERG","HALE ROBISON"
"GE134","DARON S. HUGHES","HALE ROBISON","GRANT LUNDBERG","skipped"
"GE135","HALE ROBISON","DARON S. HUGHES","GRANT LUNDBERG","skipped"
"GE136","DARON S. HUGHES","GRANT LUNDBERG","skipped","HALE ROBISON"
"GE137","GRANT LUNDBERG","HALE ROBISON","DARON S. HUGHES","skipped"
"GE138","HALE ROBISON","DARON S. HUGHES","skipped","GRANT LUNDBERG"
