"Index","rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9"
"LE01","CAMI PURTSCHERT","ETHAN M. ERICKSON","AARON BULLEN","NICOLE KUNZE","LORI MCINTOSH LE","MICHELLE MILES","PAUL HANCOCK","MONTANE C HAMILTON","CHRIS CONDIE"
"LE02","AARON BULLEN","ETHAN M. ERICKSON","CAMI PURTSCHERT","MICHELLE MILES","LORI MCINTOSH LE","MONTANE C HAMILTON","NICOLE KUNZE","PAUL HANCOCK","CHRIS CONDIE"
"LE03","overvote","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
"LE04","PAUL HANCOCK","LORI MCINTOSH LE","CHRIS CONDIE","AARON BULLEN","MICHELLE MILES","NICOLE KUNZE","CAMI PURTSCHERT","MONTANE C HAMILTON","ETHAN M. ERICKSON"
"LE05","NICOLE KUNZE","CAMI PURTSCHERT","LORI MCINTOSH LE","MICHELLE MILES","PAUL HANCOCK","MONTANE C HAMILTON","CHRIS CONDIE","ETHAN M. ERICKSON","AARON BULLEN"
"LE06","CAMI PURTSCHERT","AARON BULLEN","MICHELLE MILES","skipped","skipped","skipped","skipped","skipped","skipped"
"LE07","PAUL HANCOCK","NICOLE KUNZE","CAMI PURTSCHERT","CHRIS CONDIE","LORI MCINTOSH LE","MONTANE C HAMILTON","AARON BULLEN","MICHELLE MILES","ETHAN M. ERICKSON"
"LE08","MICHELLE MILES","AARON BULLEN","CHRIS CONDIE","skipped","skipped","skipped","skipped","skipped","skipped"
"LE09","CHRIS CONDIE","LORI MCINTOSH LE","PAUL HANCOCK","CAMI PURTSCHERT","NICOLE KUNZE","MONTANE C HAMILTON","AARON BULLEN","MICHELLE MILES","ETHAN M. ERICKSON"
"LE10","CHRIS CONDIE","PAUL HANCOCK","CAMI PURTSCHERT","MICHELLE MILES","ETHAN M. ERICKSON","NICOLE KUNZE","LORI MCINTOSH LE","AARON BULLEN","MONTANE C HAMILTON"
"LE11","NICOLE KUNZE","PAUL HANCOCK","CHRIS CONDIE","MONTANE C HAMILTON","AARON BULLEN","LORI MCINTOSH LE","CAMI PURTSCHERT","MICHELLE MILES","ETHAN M. ERICKSON"
"LE12","AARON BULLEN","CHRIS CONDIE","PAUL HANCOCK","MONTANE C HAMILTON","LORI MCINTOSH LE","NICOLE KUNZE","ETHAN M. ERICKSON","MICHELLE MILES","CAMI PURTSCHERT"
"LE13","AARON BULLEN","MICHELLE MILES","NICOLE KUNZE","LORI MCINTOSH LE","MONTANE C HAMILTON","CHRIS CONDIE","PAUL HANCOCK","CAMI PURTSCHERT","ETHAN M. ERICKSON"
"LE14","NICOLE KUNZE","LORI MCINTOSH LE","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
"LE15","PAUL HANCOCK","NICOLE KUNZE","MICHELLE MILES","AARON BULLEN","CHRIS CONDIE","LORI MCINTOSH LE","CAMI PURTSCHERT","MONTANE C HAMILTON","ETHAN M. ERICKSON"
"LE16","LORI MCINTOSH LE","MICHELLE MILES","CAMI PURTSCHERT","CHRIS CONDIE","ETHAN M. ERICKSON","skipped","skipped","skipped","skipped"
"LE17","PAUL HANCOCK","CHRIS CONDIE","NICOLE KUNZE","LORI MCINTOSH LE","MICHELLE MILES","CAMI PURTSCHERT","AARON BULLEN","MONTANE C HAMILTON","ETHAN M. ERICKSON"
"LE18","AARON BULLEN","MICHELLE MILES","CHRIS CONDIE","NICOLE KUNZE","PAUL HANCOCK","MONTANE C HAMILTON","LORI MCINTOSH LE","CAMI PURTSCHERT","ETHAN M. ERICKSON"
"LE19","CAMI PURTSCHERT","NICOLE KUNZE","ETHAN M. ERICKSON","AARON BULLEN","MICHELLE MILES","skipped","skipped","skipped","skipped"
"LE20","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
"LE21","ETHAN M. ERICKSON","CHRIS CONDIE","PAUL HANCOCK","LORI MCINTOSH LE","NICOLE KUNZE","CAMI PURTSCHERT","AARON BULLEN","MICHELLE MILES","MONTANE C HAMILTON"
"LE22","PAUL HANCOCK","CHRIS CONDIE","NICOLE KUNZE","CHRIS CONDIE","PAUL HANCOCK","NICOLE KUNZE","PAUL HANCOCK","CHRIS CONDIE","NICOLE KUNZE"
"LE23","PAUL HANCOCK","CHRIS CONDIE","AARON BULLEN","MICHELLE MILES","skipped","skipped","skipped","skipped","skipped"
