"Index","rank1","rank2","rank3","rank4","rank5","rank6","rank7"
"SP01","CRAIG CONOVER","CRAIG JENSEN","MICHAEL SNELSON","XIMENA M. BISHOP","DALE WATSON","MARCIA CONOVER-HARRIS","AMANDA MILLER"
"SP02","MARCIA CONOVER-HARRIS","CRAIG JENSEN","XIMENA M. BISHOP","CRAIG CONOVER","MICHAEL SNELSON","AMANDA MILLER","DALE WATSON"
"SP03","MICHAEL SNELSON","CRAIG JENSEN","XIMENA M. BISHOP","AMANDA MILLER","DALE WATSON","MARCIA CONOVER-HARRIS","CRAIG CONOVER"
"SP04","CRAIG CONOVER","CRAIG JENSEN","DALE WATSON","skipped","skipped","skipped","skipped"
"SP05","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
"SP06","AMANDA MILLER","MARCIA CONOVER-HARRIS","CRAIG JENSEN","CRAIG CONOVER","MICHAEL SNELSON","XIMENA M. BISHOP","DALE WATSON"
"SP07","MICHAEL SNELSON","CRAIG JENSEN","XIMENA M. BISHOP","CRAIG CONOVER","MARCIA CONOVER-HARRIS","AMANDA MILLER","DALE WATSON"
"SP08","AMANDA MILLER","XIMENA M. BISHOP","MARCIA CONOVER-HARRIS","CRAIG CONOVER","MICHAEL SNELSON","CRAIG JENSEN","DALE WATSON"
"SP09","MICHAEL SNELSON","MARCIA CONOVER-HARRIS","XIMENA M. BISHOP","CRAIG JENSEN","DALE WATSON","CRAIG CONOVER","AMANDA MILLER"
"SP10","MARCIA CONOVER-HARRIS","CRAIG CONOVER","AMANDA MILLER","DALE WATSON","MICHAEL SNELSON","CRAIG JENSEN","XIMENA M. BISHOP"
"SP11","MARCIA CONOVER-HARRIS","CRAIG CONOVER","MICHAEL SNELSON","CRAIG JENSEN","DALE WATSON","AMANDA MILLER","XIMENA M. BISHOP"
"SP12","CRAIG JENSEN","CRAIG CONOVER","MICHAEL SNELSON","XIMENA M. BISHOP","AMANDA MILLER","MARCIA CONOVER-HARRIS","DALE WATSON"
"SP13","MARCIA CONOVER-HARRIS","MICHAEL SNELSON","CRAIG CONOVER","CRAIG JENSEN","AMANDA MILLER","DALE WATSON","XIMENA M. BISHOP"
"SP14","overvote","CRAIG CONOVER","MICHAEL SNELSON","MARCIA CONOVER-HARRIS","AMANDA MILLER","CRAIG JENSEN","DALE WATSON"
"SP15","CRAIG JENSEN","CRAIG CONOVER","MARCIA CONOVER-HARRIS","MICHAEL SNELSON","XIMENA M. BISHOP","AMANDA MILLER","DALE WATSON"
"SP16","MICHAEL SNELSON","skipped","skipped","skipped","skipped","skipped","skipped"
"SP17","XIMENA M. BISHOP","MARCIA CONOVER-HARRIS","MICHAEL SNELSON","CRAIG CONOVER","CRAIG JENSEN","AMANDA MILLER","DALE WATSON"
