"Index","rank1","rank2","rank3","rank4"
"VI01","MARDI SIFUENTES","KRISTAL C. PRICE","skipped","skipped"
"VI02","MARDI SIFUENTES","AMBER RASMUSSEN","uwi","NEF PACHECO"
"VI03","AMBER RASMUSSEN","MARDI SIFUENTES","NEF PACHECO","skipped"
"VI04","KRISTAL C. PRICE","MARDI SIFUENTES","skipped","skipped"
"VI05","MARDI SIFUENTES","KRISTAL C. PRICE","NEF PACHECO","AMBER RASMUSSEN"
"VI06","NEF PACHECO","AMBER RASMUSSEN","MARDI SIFUENTES","skipped"
"VI07","MARDI SIFUENTES","KRISTAL C. PRICE","skipped","skipped"
"VI08","AMBER RASMUSSEN","NEF PACHECO","uwi","skipped"
"VI09","MARDI SIFUENTES","AMBER RASMUSSEN","NEF PACHECO","KRISTAL C. PRICE"
"VI10","KRISTAL C. PRICE","MARDI SIFUENTES","skipped","skipped"
"VI11","MARDI SIFUENTES","NEF PACHECO","AMBER RASMUSSEN","skipped"
"VI12","MARDI SIFUENTES","AMBER RASMUSSEN","uwi","NEF PACHECO"
"VI13","AMBER RASMUSSEN","NEF PACHECO","MARDI SIFUENTES","skipped"
"VI14","MARDI SIFUENTES","AMBER RASMUSSEN","NEF PACHECO","skipped"
"VI15","AMBER RASMUSSEN","NEF PACHECO","skipped","skipped"
"VI16","NEF PACHECO","MARDI SIFUENTES","AMBER RASMUSSEN","uwi"
"VI17","AMBER RASMUSSEN","MARDI SIFUENTES","NEF PACHECO","skipped"
"VI18","MARDI SIFUENTES","AMBER RASMUSSEN","KRISTAL C. PRICE","NEF PACHECO"
"VI19","AMBER RASMUSSEN","MARDI SIFUENTES","NEF PACHECO","skipped"
"VI20","MARDI SIFUENTES","KRISTAL C. PRICE","AMBER RASMUSSEN","NEF PACHECO"
"VI21","AMBER RASMUSSEN","MARDI SIFUENTES","KRISTAL C. PRICE","NEF PACHECO"
"VI22","MARDI SIFUENTES","NEF PACHECO","AMBER RASMUSSEN","skipped"
"VI23","NEF PACHECO","MARDI SIFUENTES","AMBER RASMUSSEN","skipped"
"VI24","NEF PACHECO","MARDI SIFUENTES","AMBER RASMUSSEN","uwi"
"VI25","MARDI SIFUENTES","KRISTAL C. PRICE","NEF PACHECO","AMBER RASMUSSEN"
"VI26","KRISTAL C. PRICE","MARDI SIFUENTES","AMBER RASMUSSEN","NEF PACHECO"
"VI27","MARDI SIFUENTES","AMBER RASMUSSEN","NEF PACHECO","KRISTAL C. PRICE"
"VI28","MARDI SIFUENTES","AMBER RASMUSSEN","NEF PACHECO","skipped"
"VI29","AMBER RASMUSSEN","MARDI SIFUENTES","NEF PACHECO","skipped"
"VI30","KRISTAL C. PRICE","MARDI SIFUENTES","NEF PACHECO","AMBER RASMUSSEN"
"VI31","MARDI SIFUENTES","AMBER RASMUSSEN","NEF PACHECO","uwi"
"VI32","MARDI SIFUENTES","KRISTAL C. PRICE","AMBER RASMUSSEN","NEF PACHECO"
"VI33","MARDI SIFUENTES","AMBER RASMUSSEN","NEF PACHECO","skipped"
"VI34","MARDI SIFUENTES","NEF PACHECO","AMBER RASMUSSEN","KRISTAL C. PRICE"
"VI35","MARDI SIFUENTES","NEF PACHECO","AMBER RASMUSSEN","uwi"
"VI36","MARDI SIFUENTES","AMBER RASMUSSEN","NEF PACHECO","skipped"
"VI37","NEF PACHECO","AMBER RASMUSSEN","MARDI SIFUENTES","skipped"
"VI38","KRISTAL C. PRICE","AMBER RASMUSSEN","MARDI SIFUENTES","NEF PACHECO"
"VI39","AMBER RASMUSSEN","MARDI SIFUENTES","KRISTAL C. PRICE","NEF PACHECO"
"VI40","MARDI SIFUENTES","AMBER RASMUSSEN","NEF PACHECO","skipped"
"VI41","AMBER RASMUSSEN","NEF PACHECO","MARDI SIFUENTES","skipped"
"VI42","AMBER RASMUSSEN","MARDI SIFUENTES","NEF PACHECO","KRISTAL C. PRICE"
"VI43","skipped","skipped","skipped","skipped"
"VI44","MARDI SIFUENTES","AMBER RASMUSSEN","NEF PACHECO","KRISTAL C. PRICE"
"VI45","MARDI SIFUENTES","AMBER RASMUSSEN","NEF PACHECO","skipped"
"VI46","AMBER RASMUSSEN","NEF PACHECO","MARDI SIFUENTES","skipped"
"VI47","MARDI SIFUENTES","KRISTAL C. PRICE","NEF PACHECO","AMBER RASMUSSEN"
"VI48","KRISTAL C. PRICE","MARDI SIFUENTES","skipped","skipped"
"VI49","AMBER RASMUSSEN","NEF PACHECO","MARDI SIFUENTES","uwi"
"VI50","KRISTAL C. PRICE","MARDI SIFUENTES","skipped","skipped"
"VI51","AMBER RASMUSSEN","MARDI SIFUENTES","NEF PACHECO","skipped"
"VI52","KRISTAL C. PRICE","MARDI SIFUENTES","skipped","skipped"
"VI53","KRISTAL C. PRICE","MARDI SIFUENTES","skipped","skipped"
"VI54","KRISTAL C. PRICE","AMBER RASMUSSEN","NEF PACHECO","MARDI SIFUENTES"
"VI55","MARDI SIFUENTES","NEF PACHECO","AMBER RASMUSSEN","skipped"
"VI56","MARDI SIFUENTES","KRISTAL C. PRICE","NEF PACHECO","AMBER RASMUSSEN"
"VI57","MARDI SIFUENTES","uwi","AMBER RASMUSSEN","NEF PACHECO"
"VI58","MARDI SIFUENTES","KRISTAL C. PRICE","AMBER RASMUSSEN","NEF PACHECO"
"VI59","KRISTAL C. PRICE","MARDI SIFUENTES","AMBER RASMUSSEN","NEF PACHECO"
"VI60","MARDI SIFUENTES","skipped","skipped","skipped"
"VI61","AMBER RASMUSSEN","MARDI SIFUENTES","NEF PACHECO","uwi"
"VI62","KRISTAL C. PRICE","AMBER RASMUSSEN","MARDI SIFUENTES","skipped"
"VI63","MARDI SIFUENTES","AMBER RASMUSSEN","NEF PACHECO","skipped"
"VI64","MARDI SIFUENTES","AMBER RASMUSSEN","skipped","skipped"
"VI65","MARDI SIFUENTES","AMBER RASMUSSEN","NEF PACHECO","skipped"
"VI66","KRISTAL C. PRICE","MARDI SIFUENTES","AMBER RASMUSSEN","NEF PACHECO"
"VI67","KRISTAL C. PRICE","AMBER RASMUSSEN","skipped","skipped"
"VI68","KRISTAL C. PRICE","MARDI SIFUENTES","NEF PACHECO","AMBER RASMUSSEN"
