"Index","rank1","rank2","rank3","rank4"
"WH01","JANET LUNT","CODY CHAMBERLAIN","skipped","skipped"
"WH02","CODY CHAMBERLAIN","JANET LUNT","DOREL B. KYNASTON","TOBY M. HARDING"
"WH03","TOBY M. HARDING","CODY CHAMBERLAIN","skipped","skipped"
"WH04","TOBY M. HARDING","TOBY M. HARDING","DOREL B. KYNASTON","DOREL B. KYNASTON"
"WH05","DOREL B. KYNASTON","TOBY M. HARDING","CODY CHAMBERLAIN","JANET LUNT"
"WH06","overvote","skipped","skipped","skipped"
"WH07","DOREL B. KYNASTON","CODY CHAMBERLAIN","skipped","skipped"
"WH08","CODY CHAMBERLAIN","JANET LUNT","DOREL B. KYNASTON","TOBY M. HARDING"
"WH09","JANET LUNT","CODY CHAMBERLAIN","DOREL B. KYNASTON","TOBY M. HARDING"
"WH10","TOBY M. HARDING","CODY CHAMBERLAIN","DOREL B. KYNASTON","JANET LUNT"
"WH11","DOREL B. KYNASTON","TOBY M. HARDING","JANET LUNT","skipped"
"WH12","overvote","skipped","skipped","skipped"
"WH13","DOREL B. KYNASTON","CODY CHAMBERLAIN","skipped","skipped"
"WH14","DOREL B. KYNASTON","JANET LUNT","CODY CHAMBERLAIN","skipped"
"WH15","CODY CHAMBERLAIN","JANET LUNT","DOREL B. KYNASTON","TOBY M. HARDING"
"WH16","JANET LUNT","DOREL B. KYNASTON","skipped","skipped"
"WH17","DOREL B. KYNASTON","JANET LUNT","TOBY M. HARDING","CODY CHAMBERLAIN"
"WH18","JANET LUNT","DOREL B. KYNASTON","skipped","skipped"
"WH19","DOREL B. KYNASTON","JANET LUNT","CODY CHAMBERLAIN","skipped"
"WH20","JANET LUNT","skipped","skipped","skipped"
"WH21","JANET LUNT","CODY CHAMBERLAIN","DOREL B. KYNASTON","TOBY M. HARDING"
"WH22","JANET LUNT","TOBY M. HARDING","DOREL B. KYNASTON","CODY CHAMBERLAIN"
"WH23","DOREL B. KYNASTON","JANET LUNT","CODY CHAMBERLAIN","TOBY M. HARDING"
"WH24","DOREL B. KYNASTON","JANET LUNT","skipped","skipped"
